,xfix,yfix,fixdur,fixnum,t0,t1,s0,s1,item,phase,xfix_raw,yfix_raw
70643,452.23687025316497,320.762461075949,342.079,11,2.66836,3.010439,2408,2723,6417,Prob,452.23687025316497,320.762461075949
70644,287.058059918199,297.384456237219,536.723,12,3.04072,3.577443,2750,3238,6417,Prob,287.058059918199,297.384456237219
70645,446.52013423912996,307.988567391305,397.65500000000003,13,3.606694,4.0043489999999995,3265,3632,6417,Prob,446.52013423912996,307.988567391305
70646,282.908492537313,297.66701641791,71.18599999999999,14,4.0354019999999995,4.1065879999999995,3660,3726,6417,Prob,282.908492537313,297.66701641791
70647,550.63103625,356.20540125,142.33659275,1,2.2407249999999998e-05,0.14235899999999999,1,160,6418,Target,550.63103625,356.20540125
70648,320.453334101383,304.083353917051,414.10470000000004,2,0.17643,0.5905347,197,630,6418,Target,320.453334101383,304.083353917051
70649,351.51609487179496,422.74959963370003,240.3593,3,0.6258104999999999,0.8661698,665,937,6418,Target,351.51609487179496,422.74959963370003
70650,352.968679352227,451.515898380567,217.22719999999998,4,0.8829698,1.1001969999999999,956,1202,6418,Target,352.968679352227,451.515898380567
70651,476.25338943661905,489.33179084507105,153.8861048,1,0.0005637951999999999,0.1544499,1,142,6418,Prob,476.25338943661905,489.33179084507105
70652,319.69634766355097,338.248654672897,232.22220000000002,2,0.1932596,0.4254818,178,391,6418,Prob,319.69634766355097,338.248654672897
70653,335.571776956521,475.135054347826,250.3786,3,0.46197780000000005,0.7123564,425,654,6418,Prob,335.571776956521,475.135054347826
70654,338.190849253731,332.42213880597,144.9796,4,0.7393094,0.884289,679,812,6418,Prob,338.190849253731,332.42213880597
70655,313.299683693518,349.689983300589,451.24659999999994,2,0.19006220000000001,0.6413088,215,723,6419,Target,313.299683693518,349.689983300589
70656,396.655,334.882416666667,4.35859999999999,3,0.6649831,0.6693416999999999,750,755,6419,Target,396.655,334.882416666667
70657,401.44051968503896,337.648445931759,370.63829999999996,4,0.6754486999999999,1.046087,762,1142,6419,Target,401.44051968503896,337.648445931759
70658,270.07872727272803,347.622706060606,28.177999999999997,5,1.072682,1.10086,1172,1204,6419,Target,270.07872727272803,347.622706060606
70659,328.605830405406,230.96022229729698,159.6845702,1,0.0006805298,0.1603651,1,148,6419,Prob,328.605830405406,230.96022229729698
70660,333.552203816794,304.739980152672,142.3991,2,0.1895881,0.33198720000000004,175,305,6419,Prob,333.552203816794,304.739980152672
70661,265.911438815789,319.34046513157904,336.722,3,0.35575619999999997,0.6924781999999999,327,630,6419,Prob,265.911438815789,319.34046513157904
70662,434.507745833333,339.451177777778,155.02420000000004,4,0.7229564,0.8779806,658,801,6419,Prob,434.507745833333,339.451177777778
70663,76.46762147239279,344.18651779141,144.00309275,1,2.2407249999999998e-05,0.1440255,1,163,6420,Target,76.46762147239279,344.18651779141
70664,347.364015037593,314.510626691729,243.20759999999999,2,0.17578120000000003,0.4189888,196,461,6420,Target,347.364015037593,314.510626691729
70665,369.646682692308,412.980603434067,645.2656999999999,3,0.45520829999999995,1.100474,502,1229,6420,Target,369.646682692308,412.980603434067
70666,201.31459016393399,311.551325409837,131.7156,2,0.1595186,0.2912342,147,268,6420,Prob,201.31459016393399,311.551325409837
70667,402.84774193548304,302.018425268817,422.154,3,0.3203318,0.7424858,295,666,6420,Prob,402.84774193548304,302.018425268817
70668,236.317993939394,322.23070363636396,179.27960000000002,4,0.7708693,0.9501489,692,856,6420,Prob,236.317993939394,322.23070363636396
70669,357.279487341773,465.803998101266,170.8265,5,0.9900595,1.160886,893,1050,6420,Prob,357.279487341773,465.803998101266
